percentile_rank_no_highschool_diploma,percent_frequent_physical_distress,percent_smokers,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_below_poverty,percentile_rank_per_capita_income,median_household_income,percentile_rank_no_highschool_diploma,percent_frequent_physical_distress,average_number_of_physically_unhealthy_days,percent_smokers,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_per_capita_income,percentile_rank_social_vulnerability,per_capita_income,percent_frequent_mental_distress,average_number_of_mentally_unhealthy_days
0.5982,11.811246277999999,15.828558435,16.678135604,12.0,0.263,0.5536,51746.0,0.5982,11.811246277999999,3.8482573948,15.828558435,16.678135604,12.0,0.5536,0.4744,23602.0,12.237399915,3.9311520213
0.8402,13.848878312,18.298457598,18.241607088,19.3,0.7205,0.8905,39502.0,0.8402,13.848878312,4.4369355787,18.298457598,18.241607088,19.3,0.8905,0.6428,18783.0,14.253374158,4.4397865082
0.7529,12.13700357,16.627128893,17.054864308,16.5,0.5536,0.5571,58956.0,0.7529,12.13700357,3.9061790168,16.627128893,17.054864308,16.5,0.5571,0.7848,23563.0,12.33687524,3.9512149571
0.9376,14.428083719000002,19.773671306,22.487932531,24.3,0.8857,0.8959,43591.0,0.9376,14.428083719000002,4.4937346232,19.773671306,22.487932531,24.3,0.8959,0.986,18682.0,13.833691072,4.2342770648000005
0.4193,11.835899326,15.811453025,16.261303671,17.6,0.6227,0.2767,52166.0,0.4193,11.835899326,3.7802848457,15.811453025,16.261303671,17.6,0.2767,0.659,27531.0,12.494834470999999,3.8833376619999997
0.9058,15.39056261,20.236613403,24.193462632,26.8,0.9331,0.8138,36760.0,0.9058,15.39056261,4.7920082719,20.236613403,24.193462632,26.8,0.8138,0.9608,20134.0,15.069834689,4.6707571242000006
0.5734,13.105016837,18.910360202,18.68184096,18.3,0.6651,0.7354,51225.0,0.5734,13.105016837,4.2177553169,18.910360202,18.68184096,18.3,0.7354,0.7924,21214.0,13.074748052999999,4.1774614142
0.5129,12.564829172,18.181281242,15.335968639,16.7,0.5664,0.3394,47183.0,0.5129,12.564829172,4.2715222129,18.181281242,15.335968639,16.7,0.3394,0.3598,26483.0,13.287080557000001,4.374666082
0.3973,11.121400330999998,13.959955784000002,14.896301619,13.3,0.3483,0.3372,54012.0,0.3973,11.121400330999998,3.7077369372000004,13.959955784000002,14.896301619,13.3,0.3372,0.447,26534.0,11.892142208,3.8162357035000003
0.7934,14.690702267,19.332545586,23.50295857,24.4,0.8879,0.9376,38216.0,0.7934,14.690702267,4.6168182857,19.332545586,23.50295857,24.4,0.9376,0.9656,17650.0,14.101998483,4.3190879158
0.6269,14.579446295999999,20.208121023,22.320161836,22.9,0.8564,0.8933,47892.0,0.6269,14.579446295999999,4.571505757200001,20.208121023,22.320161836,22.9,0.8933,0.9067,18715.0,14.068397160999998,4.3477730399
0.7813,12.669690525,17.312000945,18.729128827,22.4,0.8395,0.8908,40653.0,0.7813,12.669690525,4.0954435639,17.312000945,18.729128827,22.4,0.8908,0.8179,18770.0,12.52668009,3.9994542855
0.45399999999999996,11.791999149,15.431593827999999,16.003703563,13.3,0.3483,0.2324,60044.0,0.45399999999999996,11.791999149,3.8937588455000003,15.431593827999999,16.003703563,13.3,0.2324,0.469,28268.0,12.140656809000001,4.063579624
0.525,13.423622345999998,17.5268077,17.154375979,23.1,0.8609,0.6874,44502.0,0.525,13.423622345999998,4.279346987099999,17.5268077,17.154375979,23.1,0.6874,0.6211,21903.0,13.736873994000002,4.4044633531
0.609,11.908046723,17.681758712,16.704347488,14.6,0.4285,0.5877,60296.0,0.609,11.908046723,3.8821100249000002,17.681758712,16.704347488,14.6,0.5877,0.6039,23171.0,12.503853845999998,4.0202548461
0.7552,14.162140374000002,18.612754764,20.750697096,22.8,0.8513,0.8013,43302.0,0.7552,14.162140374000002,4.4699620376,18.612754764,20.750697096,22.8,0.8013,0.8437,20348.0,14.290934152,4.4330986551
0.7685,12.648413764,16.845355687999998,18.79597613,18.3,0.6651,0.6482,48984.0,0.7685,12.648413764,4.0560002845,16.845355687999998,18.79597613,18.3,0.6482,0.8602,22389.0,12.878449881,4.045640839
0.7934,14.266280935,19.316118167,21.574270165999998,22.1,0.8287,0.7679,40433.0,0.7934,14.266280935,4.5194797858,19.316118167,21.574270165999998,22.1,0.7679,0.9825,20773.0,14.436683416,4.4982958932
0.6581,11.724766810999999,16.214111018,15.863118678,15.1,0.4635,0.3451,62963.0,0.6581,11.724766810999999,3.8317499352999995,16.214111018,15.863118678,15.1,0.3451,0.3903,26352.0,12.548224942000001,4.1039071681
